"Epoch","base","base+","cutout","mixup","cutmix"
"189","0.2344","0.4162","0.3789","0.4159","0.3581"
"190","0.2355","0.418","0.3748","0.4128","0.3614"
"191","0.2343","0.4142","0.383","0.42","0.3592"
"192","0.2345","0.418","0.3762","0.4075","0.36"
"193","0.2342","0.4158","0.3733","0.41","0.3622"
"194","0.2351","0.4196","0.3759","0.4198","0.3592"
"195","0.2341","0.4189","0.3819","0.4224","0.3532"
"196","0.2327","0.4191","0.3784","0.419","0.3576"
"197","0.2344","0.4166","0.3735","0.407","0.3606"
"198","0.234","0.4198","0.3795","0.4139","0.3583"
"199","0.2349","0.4201","0.3774","0.4181","0.3609"
"200","0.2327","0.4182","0.3764","0.412","0.3555"
